# Name, Color, Type, HPBase, HpLow, HpHigh, AtkBase, AtkLow, AtkHigh, SpdBase, SpdLow, SpdHigh, DefBase, DefLow, DefHigh, ResBase, ResLow, ResHigh
Hawkeye,Green Axe,Infantry,45,42,48,33,30,36,22,19,25,28,24,31,30,27,33
Hector,Green Axe,Infantry,52,49,55,36,33,39,24,21,28,37,34,40,19,16,22
Henry,Red Tome,Infantry,45,42,45,23,23,26,22,22,22,32,29,32,25,22,29
Hinata,Red Sword,Infantry,47,47,47,32,29,32,24,21,24,36,36,39,18,18,18
Hinoka,Blue Lance,Flying,41,37,44,35,32,38,32,29,35,25,22,29,24,21,27
Jaffar,Dagger,Infantry,41,38,44,26,23,30,33,30,36,25,22,29,22,19,25
Hagen,Blue Lance,Cavalry,37,34,40,27,24,30,24,21,27,25,22,28,35,32,38
Jakob,Dagger,Infantry,39,36,42,29,26,32,31,28,34,25,22,29,24,21,28
Jeorge,Bow,Infantry,37,34,41,32,29,35,32,29,35,24,21,28,22,19,25
Julia,Green Tome,Infantry,38,34,41,35,32,38,26,23,30,17,13,20,32,29,35
Kagero,Dagger,Infantry,31,28,34,35,32,38,32,29,35,22,19,25,28,24,31
Karel,Red Sword,Infantry,47,44,50,30,26,33,35,32,38,25,22,29,20,17,23
Klein,Bow,Infantry,40,36,43,31,27,34,33,30,36,20,17,23,24,21,28
Lachesis,Staff,Infantry,39,35,39,32,29,35,25,25,28,22,19,25,30,26,33
Laslow,Red Sword,Infantry,44,41,44,35,35,38,26,26,26,30,30,33,22,19,22
Leo,Red Tome,Cavalry,39,35,42,29,25,32,22,19,25,25,22,29,30,26,33
Lilina,Red Tome,Infantry,35,32,39,37,34,40,25,22,29,19,16,22,31,27,34
Linde,Blue Tome,Infantry,35,32,39,35,32,38,36,33,39,14,11,18,27,23,30
Lissa,Staff,Infantry,39,35,39,26,23,26,25,22,29,28,28,31,30,26,33
Lon’Qu,Red Sword,Infantry,45,42,45,29,29,32,39,39,42,22,22,22,22,19,22
Lucina,Red Sword,Infantry,43,40,46,34,31,37,36,33,39,25,22,29,19,16,22
Lucina!,ULTIMATE WAIFU,CHROM WILL BE PISSED,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
Lucius,Staff,Infantry,37,34,41,32,32,35,30,26,33,13,10,17,35,32,38
Lyn,Red Sword,Infantry,37,34,41,28,24,31,37,34,40,26,23,30,29,26,32
Maria,Staff,Infantry,36,36,40,27,23,30,34,31,37,19,16,22,32,29,35
Marth,Red Sword,Infantry,41,37,44,31,28,34,34,31,37,29,25,32,23,20,26
Matthew,Dagger,Infantry,41,41,41,25,25,29,34,34,37,30,27,30,18,14,21
Merric,Green Tome,Infantry,43,40,46,26,23,30,32,29,35,28,24,31,19,16,22
Michalis,Green Axe,Flying,43,43,43,34,34,34,26,26,26,35,35,35,19,19,19
Minerva,Green Axe,Flying,40,36,43,31,28,34,33,30,36,32,29,35,22,19,25
Narcian,Green Axe,Flying,42,42,42,29,29,29,29,29,29,32,32,32,26,26,26
Niles,Bow,Infantry,37,34,40,25,22,29,34,31,37,17,13,20,34,31,37
Ninian,Blue Breath,Infantry,42,39,45,24,21,28,33,30,36,23,20,26,27,23,30
Nino,Green Tome,Infantry,33,30,36,33,30,36,36,33,39,19,16,22,26,23,30
Nowi,Blue Breath,Infantry,45,42,48,34,31,37,27,23,30,30,27,33,27,23,30
Oboro,Blue Lance,Infantry,40,36,43,32,32,35,26,23,30,35,32,38,24,21,24
Odin,Blue Tome,Infantry,43,40,46,22,19,25,32,29,35,25,22,28,25,22,28
Ogma,Red Sword,Infantry,47,44,50,35,32,38,34,31,37,28,24,31,13,10,17
Olivia,Red Sword,Infantry,36,33,40,28,25,31,33,30,36,27,23,30,26,22,29
Olwen,Blue Tome,Cavalry,34,31,37,26,23,30,34,31,37,20,17,23,30,27,33
Palla,Red Sword,Flying,42,39,42,31,31,34,31,27,34,28,24,28,26,23,30
Peri,Blue Lance,Cavalry,35,32,39,33,30,36,33,30,36,23,20,26,30,27,33
Priscilla,Staff,Cavalry,36,33,40,29,25,32,29,25,32,19,16,22,32,29,35
Raigh,Red Tome,Infantry,36,33,36,32,32,35,29,29,29,22,19,22,29,29,29
Raven,Green Axe,Infantry,41,37,44,34,31,37,35,32,38,25,22,29,22,19,25
Rebecca,Bow,Infantry,37,34,41,29,25,32,34,31,37,21,18,24,27,23,30
Reinhardt,Blue Tome,Cavalry,38,34,41,32,29,35,23,20,26,27,23,30,25,22,28
Robin (F),Green Tome,Infantry,40,40,40,29,29,29,29,29,29,29,29,29,22,22,22
Robin (M),Blue Tome,Infantry,40,36,43,29,25,32,29,25,32,29,25,32,22,19,25
Roy,Red Sword,Infantry,44,41,47,30,26,33,31,27,34,25,22,29,28,25,31
Ryoma,Red Sword,Infantry,41,37,44,34,31,37,35,32,38,27,23,30,21,18,24
Saizo,Dagger,Infantry,36,36,40,29,25,32,34,31,37,33,33,36,16,12,19
Sakura,Staff,Infantry,36,33,40,28,24,31,30,26,33,24,21,28,30,26,33
Sanaki,Red Tome,Infantry,33,30,36,37,34,40,26,23,30,17,13,20,34,31,37
Selena,Red Sword,Infantry,37,34,41,25,22,29,35,32,38,32,29,35,28,24,31
Seliph,Red Sword,Infantry,47,44,50,34,31,37,24,21,27,30,27,33,22,19,25
Serra,Staff,Infantry,33,33,36,30,27,30,31,31,31,21,18,21,33,33,36
Setsuna,Bow,Infantry,37,34,41,28,24,31,37,34,40,22,19,25,23,20,26
Shanna,Blue Lance,Flying,39,35,42,30,26,33,35,32,38,25,22,29,29,25,32
Sharena,Blue Lance,Infantry,43,43,43,32,32,32,32,32,32,29,29,29,22,22,22
Sheena,Green Axe, Armored,45,42,48,30,26,33,25,22,29,36,33,39,33,30,36
Sophia,Red Tome,Infantry,40,40,40,33,33,33,19,19,19,28,28,28,29,29,29
Stahl,Red Sword,Cavalry,45,45,45,31,31,34,26,26,30,30,26,30,22,19,22
Subaki,Blue Lance,Flying,40,36,43,25,22,29,35,32,38,35,32,38,22,19,25
Sully,Blue Lance,Cavalry,42,42,42,26,26,26,34,31,37,24,21,27,28,28,28
Takumi,Bow,Infantry,40,36,43,32,29,35,33,30,36,25,22,29,18,14,21
Tharja,Red Tome,Infantry,39,35,42,32,29,35,34,31,37,23,20,26,20,17,23
Tiki,Red Breath,Infantry,40,36,43,35,32,38,23,20,26,35,32,38,24,21,27
Tiki (Young),Red Breath,Infantry,41,38,44,31,28,34,30,27,33,32,29,35,29,25,32
Ursula,Blue Tome,Cavalry,35,35,35,29,29,29,32,32,32,19,19,19,30,30,30
Virion,Bow,Infantry,46,43,46,31,31,31,31,28,34,26,26,30,13,13,13
Wrys,Staff,Infantry,42,42,45,24,20,24,23,23,26,22,22,25,36,33,36
Xander (Spring Festival),Blue Lance,Cavalry,40,36,43,25,22,29,28,24,31,35,32,38,26,23,30
Lucina (Spring Festival),Blue Lance,Infantry,35,32,39,29,25,32,36,33,39,22,19,25,25,22,29
Chrom (Spring Festival),Green Axe,Infantry,43,40,46,35,32,38,32,29,35,28,24,31,20,17,23
Camilla (Spring Festival),Green Tome,Flying,39,35,42,35,32,38,25,22,29,30,26,33,19,16,22
# End
